week_number,week_ending
wk_01,2020-01-05
wk_02,2020-01-12
wk_03,2020-01-19
wk_04,2020-01-26
wk_05,2020-02-02
wk_06,2020-02-09
wk_07,2020-02-16
wk_08,2020-02-23
wk_09,2020-03-01
wk_10,2020-03-08
wk_11,2020-03-15
wk_12,2020-03-22
wk_13,2020-03-29
wk_14,2020-04-05
wk_15,2020-04-12
wk_16,2020-04-19
wk_17,2020-04-26
wk_18,2020-05-03
wk_19,2020-05-10
wk_20,2020-05-17
wk_21,2020-05-24
wk_22,2020-05-31
wk_23,2020-06-07
wk_24,2020-06-14
wk_25,2020-06-21
wk_26,2020-06-28
wk_27,2020-07-05
wk_28,2020-07-12
wk_29,2020-07-19
wk_30,2020-07-26
wk_31,2020-08-02
wk_32,2020-08-09
wk_33,2020-08-16
wk_34,2020-08-23
wk_35,2020-08-30
wk_36,2020-09-06
wk_37,2020-09-13
wk_38,2020-09-20
wk_39,2020-09-27
wk_40,2020-10-04
wk_41,2020-10-11
wk_42,2020-10-18
wk_43,2020-10-25
wk_44,2020-11-01
wk_45,2020-11-08
wk_46,2020-11-15
wk_47,2020-11-22
wk_48,2020-11-29
wk_49,2020-12-06
wk_50,2020-12-13
wk_51,2020-12-20
wk_52,2020-12-27
